candidate,n_folds,seed,fold,system,coef,coef_norm,intercept
ours+4base,5,45,0,timepool_T150_aug,1.0599745523593929,0.5249983230446438,-2.21946864096696
ours+4base,5,45,0,CQCC-GMM,0.38116418823016385,0.18878807909122322,-2.21946864096696
ours+4base,5,45,0,LFCC-GMM,0.3935135751245652,0.19490464801805152,-2.21946864096696
ours+4base,5,45,0,LFCC-LCNN,0.12330590967171635,0.061072594294882994,-2.21946864096696
ours+4base,5,45,0,RawNet2,-0.06104737107443176,-0.030236355551198215,-2.21946864096696
ours+4base,5,45,1,timepool_T150_aug,1.026057443111621,0.5299277443089694,-2.1445657148150135
ours+4base,5,45,1,CQCC-GMM,0.4216400321920786,0.21776436852532277,-2.1445657148150135
ours+4base,5,45,1,LFCC-GMM,0.26689440616116245,0.13784291666629483,-2.1445657148150135
ours+4base,5,45,1,LFCC-LCNN,0.13129488212529836,0.06780984943004052,-2.1445657148150135
ours+4base,5,45,1,RawNet2,-0.09033464419744132,-0.046655121069372446,-2.1445657148150135
ours+4base,5,45,2,timepool_T150_aug,1.0642519379664155,0.545785888653594,-2.1098126153973595
ours+4base,5,45,2,CQCC-GMM,0.409405009367713,0.20995731263027453,-2.1098126153973595
ours+4base,5,45,2,LFCC-GMM,0.28923576992883854,0.14833029294046654,-2.1098126153973595
ours+4base,5,45,2,LFCC-LCNN,0.11238638899772133,0.05763569978448609,-2.1098126153973595
ours+4base,5,45,2,RawNet2,-0.07466492873778269,-0.038290805991178734,-2.1098126153973595
ours+4base,5,45,3,timepool_T150_aug,1.0387517196722944,0.5510795468082927,-2.0763294479217587
ours+4base,5,45,3,CQCC-GMM,0.41481308463236644,0.22006703080257878,-2.0763294479217587
ours+4base,5,45,3,LFCC-GMM,0.2794499007847912,0.14825402621589767,-2.0763294479217587
ours+4base,5,45,3,LFCC-LCNN,0.13492877336745865,0.07158254072705261,-2.0763294479217587
ours+4base,5,45,3,RawNet2,-0.01699622886568935,-0.009016855446178211,-2.0763294479217587
ours+4base,5,45,4,timepool_T150_aug,1.066776959615062,0.5097077881226647,-2.13461040060512
ours+4base,5,45,4,CQCC-GMM,0.4340541141871724,0.2073917705794088,-2.13461040060512
ours+4base,5,45,4,LFCC-GMM,0.3344392503256807,0.15979562457593413,-2.13461040060512
